feature,description,category
label,Attack category derived from the fixed folder name,metadata
source_file,Relative path of the source EVE JSON file,metadata
timestamp,Timestamp of the flow event,metadata
timestamp_epoch,Timestamp converted to Unix epoch seconds,metadata
flow_id,Suricata flow identifier,metadata
src_ip,Source IP address,network
src_port,Source port,network
dest_ip,Destination IP address,network
dest_port,Destination port,network
protocol,Network protocol reported by Suricata,network
app_proto,Application protocol detected by Suricata,network
flow_state,Suricata flow state,network
packets_to_server,Packets sent toward destination/server,flow
packets_to_client,Packets sent toward source/client,flow
bytes_to_server,Bytes sent toward destination/server,flow
bytes_to_client,Bytes sent toward source/client,flow
total_packets,Total packets in the flow,flow
total_bytes,Total bytes in the flow,flow
flow_duration,Duration of the flow in seconds,flow
packet_rate,Packets per second,flow
byte_rate,Bytes per second,flow
average_packet_size,Average bytes per packet,flow
upload_download_ratio,Bytes-to-server divided by bytes-to-client,flow
dns_event_count,Number of DNS events associated with the flow,dns
dns_record_type,Most common DNS record type,dns
dns_type,Most common DNS event type,dns
dns_rcode,Most common DNS response code,dns
dns_unique_domain_count_per_flow,Number of unique DNS domains queried by the flow,dns
dns_max_query_length_per_flow,Maximum DNS query length in the flow,dns
tls_event_count,Number of TLS events associated with the flow,tls
sni,TLS Server Name Indication,tls
tls_version,TLS version,tls
ja3_hash,JA3 client fingerprint hash,tls
ja3_string,JA3 fingerprint string,tls
ja3s_hash,JA3S server fingerprint hash,tls
ja3s_string,JA3S fingerprint string,tls
ja4,JA4 fingerprint when available,tls
tls_subject,TLS certificate subject,tls
tls_issuer,TLS certificate issuer,tls
quic_event_count,Number of QUIC events associated with the flow,quic
quic_version,QUIC version,quic
quic_sni,QUIC SNI,quic
quic_ja3,QUIC JA3 fingerprint when available,quic
quic_ja3s,QUIC JA3S fingerprint when available,quic
source_flow_count,Number of flows generated by the source IP in the file,behavior
unique_destination_ips,Number of unique destination IPs contacted by the source,behavior
unique_destination_ports,Number of unique destination ports contacted by the source,behavior
dns_query_count_by_source,Number of DNS queries generated by the source,behavior
unique_dns_domains_by_source,Number of unique DNS domains queried by the source,behavior
repeated_dns_queries,DNS query count minus unique DNS domain count,behavior
destination_fanout,Number of unique destination IPs contacted by the source,behavior
source_ip_count_in_file,Number of unique source IPs in the source file,behavior
source_ip_entropy_in_file,Entropy of source IP distribution,behavior
src_interarrival_sec,Average time between source events,behavior
dns_query,"Representative DNS query, selected as the longest query in the flow",dns_lexical
dns_query_length,Length of representative DNS query,dns_lexical
dns_entropy,Character entropy of representative DNS query,dns_lexical
dns_digit_count,Number of digits across DNS queries,dns_lexical
dns_letter_count,Number of alphabetic characters across DNS queries,dns_lexical
dns_hyphen_count,Number of hyphens across DNS queries,dns_lexical
dns_dot_count,Number of dots across DNS queries,dns_lexical
dns_digit_ratio,Ratio of digits to all DNS-query characters,dns_lexical
dns_label_count,Number of labels in representative DNS query,dns_lexical
dns_longest_label,Length of longest label in representative DNS query,dns_lexical
dns_bigram_count,Total DNS character bigrams,dns_lexical
dns_unique_bigram_count,Number of unique DNS character bigrams,dns_lexical
dns_trigram_count,Total DNS character trigrams,dns_lexical
dns_unique_trigram_count,Number of unique DNS character trigrams,dns_lexical
